title,owner,like,view,mid,bvid,url,author_href,author,following,follower,like_author,video_view,article_view
花11万多买台新车，10块钱怼2个高配版烧饼夹菜庆祝一下，真香,田野上的繁荣,28163,280508,588278127,BV1m54y1d7pa,https://www.bilibili.com/video/BV1m54y1d7pa,https://space.bilibili.com/588278127,田野上的繁荣,18,2342640,26378048,492619646,0
女领导竟然让我去陪酒？我果断...,大乐超勇的,1530,14924,1830773414,BV1qZ4y1b7Ga,https://www.bilibili.com/video/BV1qZ4y1b7Ga,https://space.bilibili.com/1830773414,大乐超勇的,1,40480,398190,5843477,0
把猥琐发挥到极致？陈忠祥做自媒体的特别方式,陈忠祥,4279,67972,238171819,BV1Rv4y1P7fs,https://www.bilibili.com/video/BV1Rv4y1P7fs,https://space.bilibili.com/238171819,陈忠祥,70,196410,1596081,37927417,8416
没有之一！谁才是世界上最大的淡水鱼？,PAI派崔克,4343,95022,490118109,BV1j54y1f7Hh,https://www.bilibili.com/video/BV1j54y1f7Hh,https://space.bilibili.com/490118109,PAI派崔克,293,43069,233100,4574005,0
哼 整勒些，不就是想让我出山迈,果子哥哥工作室,5407,54615,32606879,BV1LF411j7nE,https://www.bilibili.com/video/BV1LF411j7nE,https://space.bilibili.com/32606879,果子哥哥工作室,4,1170409,7632447,209513665,0
夜晚的塞纳河畔 满足了我对浪漫的所有幻想 ♡ 巴黎日记大结局,Jacinth_jia,3732,43085,243553001,BV1oY4y1k7VA,https://www.bilibili.com/video/BV1oY4y1k7VA,https://space.bilibili.com/243553001,Jacinth_jia,107,186654,633936,11270012,0
第一次摆摊，没想到生意这么火爆，到底挣了多少钱？,花都兄弟,20689,511784,285319301,BV1Qt4y1s7iV,https://www.bilibili.com/video/BV1Qt4y1s7iV,https://space.bilibili.com/285319301,花都兄弟,178,443182,10501154,202664276,0
260斤胖子逆袭，这个夏天，我想给自己一个交代。,马野好饿,7899,315045,440664748,BV1UA4y1o76A,https://www.bilibili.com/video/BV1UA4y1o76A,https://space.bilibili.com/440664748,马野好饿,25,212434,1348357,66410243,1669
那一刻，我变成了光。,俊鸿,11258,169396,46508980,BV14Y4y167Jr,https://www.bilibili.com/video/BV14Y4y167Jr,https://space.bilibili.com/46508980,俊鸿,21,336083,8377599,161889681,0
女领导竟然让我去陪酒？我果断...,大乐超勇的,1530,14924,1830773414,BV1qZ4y1b7Ga,https://www.bilibili.com/video/BV1qZ4y1b7Ga,https://space.bilibili.com/1830773414,大乐超勇的,1,40480,398190,5843477,0
没有之一！谁才是世界上最大的淡水鱼？,PAI派崔克,4343,95022,490118109,BV1j54y1f7Hh,https://www.bilibili.com/video/BV1j54y1f7Hh,https://space.bilibili.com/490118109,PAI派崔克,293,43069,233100,4574005,0
夜晚的塞纳河畔 满足了我对浪漫的所有幻想 ♡ 巴黎日记大结局,Jacinth_jia,3732,43085,243553001,BV1oY4y1k7VA,https://www.bilibili.com/video/BV1oY4y1k7VA,https://space.bilibili.com/243553001,Jacinth_jia,107,186654,633936,11270012,0
260斤胖子逆袭，这个夏天，我想给自己一个交代。,马野好饿,7899,315045,440664748,BV1UA4y1o76A,https://www.bilibili.com/video/BV1UA4y1o76A,https://space.bilibili.com/440664748,马野好饿,25,212434,1348357,66410243,1669
那一刻，我变成了光。,俊鸿,11258,169396,46508980,BV14Y4y167Jr,https://www.bilibili.com/video/BV14Y4y167Jr,https://space.bilibili.com/46508980,俊鸿,21,336083,8377599,161889681,0
疯狂！一个小时速通暮色森林！1.16.5,岁月de长盒,880,16188,430963008,BV1dB4y197HM,https://www.bilibili.com/video/BV1dB4y197HM,https://space.bilibili.com/430963008,岁月de长盒,1174,848,6440,69305,1454
不同国家影视剧的本土特色,蜡笔小叽是养生女孩,15520,171461,383232993,BV1Pv4y1P7Pa,https://www.bilibili.com/video/BV1Pv4y1P7Pa,https://space.bilibili.com/383232993,蜡笔小叽是养生女孩,211,183754,1825849,25298427,0
探秘中车在美国的工厂！美媒说车厢藏了监控是真的吗？,我是郭杰瑞,44309,408701,176037767,BV1gA4y1Z7E1,https://www.bilibili.com/video/BV1gA4y1Z7E1,https://space.bilibili.com/176037767,我是郭杰瑞,31,7088025,42719413,896521999,0
